Tract,Town
303,Darien
353,New Canaan
110,Greenwich
301,Darien
302,Darien
304,Darien
305,Darien
1051,Easton
1052,Easton
601,Fairfield
602,Fairfield
603,Fairfield
604,Fairfield
605,Fairfield
606,Fairfield
453,Wilton
454,Wilton
2305.02,Newtown
2305.01,Newtown
2107.02,Danbury
2107.01,Danbury
2572,Bridgeport
607,Fairfield
608,Fairfield
609,Fairfield
610,Fairfield
611,Fairfield
612,Fairfield
613,Fairfield
614,Fairfield
615,Fairfield
616,Fairfield
101.01,Greenwich
101.02,Greenwich
102.01,Greenwich
102.02,Greenwich
103,Greenwich
104,Greenwich
105,Greenwich
106,Greenwich
107,Greenwich
108,Greenwich
109,Greenwich
111,Greenwich
112,Greenwich
113,Greenwich
1001,Monroe
1002,Monroe
1003,Monroe
1105,Shelton
351,New Canaan
352,New Canaan
354,New Canaan
2201,New Fairfield
2202,New Fairfield
2301,Newtown
2303,Newtown
2304,Newtown
2302,Newtown
425,Norwalk
426,Norwalk
427,Norwalk
428,Norwalk
429,Norwalk
430,Norwalk
431,Norwalk
432,Norwalk
433,Norwalk
434,Norwalk
435,Norwalk
436,Norwalk
437,Norwalk
438,Norwalk
439,Norwalk
440,Norwalk
441,Norwalk
442,Norwalk
9900,Norwalk
2001,Bethel
2003.01,Bethel
2003.02,Bethel
2002,Bethel
701,Bridgeport
702,Bridgeport
703,Bridgeport
704,Bridgeport
705,Bridgeport
443,Norwalk
444,Norwalk
445,Norwalk
446,Norwalk
2401,Redding
2402,Redding
2451,Ridgefield
2452,Ridgefield
2453,Ridgefield
2454,Ridgefield
2455,Ridgefield
2456,Ridgefield
906,Trumbull
907,Trumbull
706,Bridgeport
709,Bridgeport
710,Bridgeport
711,Bridgeport
712,Bridgeport
713,Bridgeport
714,Bridgeport
1101,Shelton
1103.01,Shelton
1103.02,Shelton
1104,Shelton
1102.02,Shelton
1106,Shelton
2571,Sherman
201,Stamford
202,Stamford
203,Stamford
204,Stamford
205,Stamford
206,Stamford
207,Stamford
716,Bridgeport
719,Bridgeport
720,Bridgeport
721,Bridgeport
722,Bridgeport
723,Bridgeport
208,Stamford
209,Stamford
210,Stamford
211,Stamford
212,Stamford
213,Stamford
214,Stamford
218.01,Stamford
215,Stamford
724,Bridgeport
725,Bridgeport
726,Bridgeport
727,Bridgeport
728,Bridgeport
216,Stamford
218.02,Stamford
217,Stamford
219,Stamford
220,Stamford
221,Stamford
729,Bridgeport
730,Bridgeport
731,Bridgeport
732,Bridgeport
733,Bridgeport
734,Bridgeport
735,Bridgeport
736,Bridgeport
222,Stamford
223,Stamford
224,Stamford
801,Stratford
802,Stratford
804,Stratford
737,Bridgeport
738,Bridgeport
739,Bridgeport
740,Bridgeport
743,Bridgeport
744,Bridgeport
904,Trumbull
905,Trumbull
2051,Brookfield
2052,Brookfield
2053,Brookfield
2101,Danbury
2102,Danbury
805,Stratford
806,Stratford
807,Stratford
808,Stratford
2103,Danbury
1102.01,Shelton
2104,Danbury
2105,Danbury
2106,Danbury
2108,Danbury
2109,Danbury
2110,Danbury
2111,Danbury
2112,Danbury
2113,Danbury
2114,Danbury
2203,New Fairfield
809,Stratford
810,Stratford
811,Stratford
812,Stratford
813,Stratford
901,Trumbull
902,Trumbull
903,Trumbull
501,Westport
551,Weston
552,Weston
502,Westport
503,Westport
504,Westport
451.02,Wilton
505,Westport
506,Westport
451.01,Wilton
452,Wilton
7161.02,East Lyme
7161.01,East Lyme
9901,East Lyme
7131,Bozrah
7141.01,Colchester
7121,Franklin
7091,Griswold
7092,Griswold
7021,Groton
7027,Groton
7028,Groton
7029,Groton
9800,Groton
7023,Groton
7024,Groton
7025,Groton
7026,Groton
7030,Groton
8701,Lebanon
7011,Ledyard
7012,Ledyard
7101,Lisbon
6501,Lyme
6952.01,Montville
6952.02,Montville
6903,New London
6904,New London
6905,New London
6907,New London
6908,New London
6909,New London
7071,North Stonington
6961,Norwich
6962,Norwich
6963,Norwich
6964,Norwich
6965,Norwich
6966,Norwich
6967,Norwich
6968,Norwich
6970,Norwich
6601.01,Old Lyme
6601.02,Old Lyme
7001,Preston
7151,Salem
7111,Sprague
7052,Stonington
7053,Stonington
7054,Stonington
7081,Voluntown
6933,Waterford
6934,Waterford
6935,Waterford
6936,Waterford
6937,Waterford
8707.04,East Lyme
8707.03,East Lyme
8707.01,East Lyme
8705.02,Montville
8705.01,Montville
7051.02,Stonington
7141.04,Colchester
7141.03,Colchester
7051.01,Stonington
8703,New London
8702,Groton
5301,Vernon
5302,Vernon
5303.01,Vernon
5303.02,Vernon
5304,Vernon
8401,Willington
5261.02,Hebron
5261.01,Hebron
8902.02,Stafford
8902.01,Stafford
8301,Ashford
9051,Brooklyn
9061,Canterbury
8150,Chaplin
9022,Eastford
8200,Hampton
9041,Killingly
9044,Killingly
9045,Killingly
9071,Plainfield
9072,Plainfield
9073,Plainfield
9025,Pomfret
9031,Putnam
9032,Putnam
8250,Scotland
9081,Sterling
9001,Thompson
9002,Thompson
8004,Windham
8005,Windham
8003,Windham
9011,Woodstock
8007,Windham
8006,Windham
5281,Andover
5291,Bolton
5305,Vernon
5306,Vernon
8601,Columbia
8501,Coventry
8502,Coventry
5351,Ellington
5352,Ellington
8811,Mansfield
8813,Mansfield
8815,Mansfield
8812,Mansfield
5381,Somers
5382.01,Somers
5382.02,Somers
8901,Stafford
5331.01,Tolland
5331.02,Tolland
5203.02,Glastonbury
9800,Glastonbury
5245.02,Hartford
5245.01,Hartford
5144,Manchester
5145,Manchester
5146,Manchester
5147,Manchester
5148,Manchester
5203.01,Glastonbury
5243,Enfield
5242,Rocky Hill
5247,Hartford
5244,Hartford
5246,Hartford
4621.01,Avon
4621.02,Avon
4622.01,Avon
5149,Manchester
5241,Marlborough
4153,New Britain
4154,New Britain
4155,New Britain
4156,New Britain
4157,New Britain
4622.02,Avon
4001,Berlin
4002,Berlin
4003,Berlin
4711,Bloomfield
4712,Bloomfield
4713,Bloomfield
4714,Bloomfield
4715,Bloomfield
4158,New Britain
4159,New Britain
4160,New Britain
4161,New Britain
4162,New Britain
4163,New Britain
4164,New Britain
4051,Bristol
4052,Bristol
4053,Bristol
4055,Bristol
4056,Bristol
4165,New Britain
4166,New Britain
4167,New Britain
4168,New Britain
4171,New Britain
4172,New Britain
4057,Bristol
4058,Bristol
4059,Bristol
4060.01,Bristol
4060.02,Bristol
4173,New Britain
4174,New Britain
4175,New Britain
4926,Wethersfield
4941,Newington
4942.01,Newington
4061,Bristol
4205,Plainville
4641.01,Canton
4641.02,Canton
4701,East Granby
4735.02,East Granby
4763,Windsor Locks
5101,East Hartford
5102,East Hartford
4942.02,Newington
4943,Newington
4944,Newington
4945,Newington
4946,Newington
5103,East Hartford
5104,East Hartford
5105,East Hartford
5106,East Hartford
5107,East Hartford
5108,East Hartford
4204,Plainville
4206,Plainville
4207,Plainville
4302.01,Southington
4306.01,Southington
4901,Rocky Hill
5109,East Hartford
5110,East Hartford
5111,East Hartford
5112,East Hartford
5113,East Hartford
5114,East Hartford
4841,East Windsor
4842,East Windsor
4903.02,Rocky Hill
4603.02,Rocky Hill
4661.01,Simsbury
4661.02,Simsbury
4662.01,Simsbury
4662.02,Simsbury
4663,Simsbury
4664,Simsbury
4301,Southington
4302.02,Southington
4302.03,Southington
4303.01,Southington
4803,Enfield
4805,Enfield
4808,Enfield
4809,Enfield
4810,Enfield
4812,Enfield
4813,Enfield
4303.02,Southington
4304,Southington
4305,Southington
4306.02,Southington
4871,South Windsor
4873,South Windsor
4874,South Windsor
4875,South Windsor
4804,Enfield
4811,Enfield
4806,Enfield
4807,Enfield
4601,Farmington
4602.02,Farmington
4771.01,Suffield
4771.02,Suffield
4772,Suffield
4961,West Hartford
4962,West Hartford
4963,West Hartford
4964,West Hartford
4965,West Hartford
4603.01,West Hartford
5201,Glastonbury
5202.01,Glastonbury
5202.02,Glastonbury
5204,Glastonbury
5205.01,Glastonbury
4681.01,Granby
4681.02,Granby
5001,Hartford
5002,Hartford
5003,Hartford
5004,Hartford
5005,Hartford
5007,Hartford
4966,West Hartford
4967,West Hartford
4968,West Hartford
4969,West Hartford
4970,West Hartford
5009,Hartford
5012,Hartford
5013,Hartford
5014,Hartford
5015,Hartford
5017,Hartford
5018,Hartford
5021,Hartford
4971,West Hartford
4972,West Hartford
4973,West Hartford
4974,West Hartford
4975,West Hartford
5023,Hartford
5024,Hartford
5025,Hartford
5026,Hartford
5027,Hartford
5028,Hartford
5029,Hartford
5030,Hartford
4976,West Hartford
4977,West Hartford
4921,Wethersfield
4922,Wethersfield
4923,Wethersfield
5031,Hartford
5033,Hartford
5035,Hartford
5037,Hartford
5038,Hartford
5039,Hartford
5040,Hartford
5041,Hartford
4924,Wethersfield
4925,Wethersfield
4731,Windsor
4734,Windsor
4735.01,Windsor
4736.01,Windsor
4736.02,Windsor
5042,Hartford
5043,Hartford
5045,Hartford
5048,Hartford
5049,Hartford
3301,Hartland
4737,Windsor
4738,Windsor
4761,Windsor Locks
4762,Windsor Locks
4602.04,Farmington
4054.02,Bristol
4054.01,Bristol
5142,Manchester
5150,Manchester
5151.01,Manchester
5151.02,Manchester
5152,Manchester
5143,Manchester
4101.01,Burlington
4101.02,Burlington
4602.03,Farmington
4872.01,South Windsor
4872.02,South Windsor
5141.01,Manchester
5141.02,Manchester
9901,County subdivisions not defined
6001,Chester
6101,Clinton
6102,Clinton
6103,Clinton
6104,Clinton
5701,Cromwell
5702,Cromwell
5703,Cromwell
6201,Deep River
5851,Durham
5501,East Hampton
6301,Essex
5901,Haddam
6401,Killingworth
5801,Middlefield
5411,Middletown
5412,Middletown
5413,Middletown
5415,Middletown
5416,Middletown
5417,Middletown
5420,Middletown
5421,Middletown
5422,Middletown
5602,Portland
6701,Old Saybrook
6702,Old Saybrook
5601,Portland
6801,Westbrook
5414.02,Middletown
5414.01,Middletown
5502.02,East Hampton
5951.02,East Haddam
5502.01,East Hampton
5951.01,East Haddam
6802,Middletown
2536,New Milford
2901,Barkhamsted
3201,Winchester
3421,Bethlehem
2501,Bridgewater
2534,New Milford
2931,Colebrook
2632,Cornwall
2961,Goshen
2983,Harwinton
2984,Harwinton
3108.01,Torrington
2661,Kent
3001,Litchfield
3004,Litchfield
3005,Litchfield
3031,Morris
3061,New Hartford
3106.02,Torrington
2532,New Milford
2533,New Milford
2535,New Milford
2531,New Milford
2602,North Canaan
4253,Plymouth
4254,Plymouth
4255,Plymouth
2681,Roxbury
2611,Salisbury
2621,Sharon
3491,Thomaston
3492,Thomaston
3101,Torrington
3102,Torrington
3103,Torrington
3104,Torrington
3105,Torrington
3106.01,Torrington
3107,Torrington
2651,Warren
2671,Washington
3601,Watertown
3602,Watertown
3603,Watertown
3604,Watertown
3202,Winchester
3621.01,Woodbury
3621.02,Woodbury
3108.03,Torrington
3108.04,Torrington
4256,Norfolk
3453,Naugatuck
1401,New Haven
3454,Naugatuck
1402,New Haven
1403,New Haven
1405,New Haven
1406,New Haven
1407,New Haven
1408,New Haven
1409,New Haven
1404,New Haven
1428,New Haven
1410,New Haven
1411,New Haven
1412,New Haven
1414,New Haven
1416,New Haven
1418,New Haven
1419,New Haven
1501,Milford
1502,Milford
1504,Milford
1505,Milford
1509,Milford
1420,New Haven
1421,New Haven
1422,New Haven
1423,New Haven
1424,New Haven
1426.01,New Haven
1861,North Branford
1862,North Branford
1671,North Haven
1672.02,North Haven
1510,North Haven
1511,Milford
1545,Milford
1547,Milford
1548,Milford
1550,Milford
1551,Milford
1843,Branford
1901,Branford
1902,Branford
1941,Branford
1673,North Haven
1571,Orange
1572,Orange
1574,Orange
3461.01,Oxford
3471,Prospect
3472,Prospect
1302,Seymour
1251,Ansonia
1252,Ansonia
1253,Ansonia
1254,Ansonia
3411,Beacon Falls
1702,Meriden
3481.11,Southbury
1754,Wallingford
1755,Wallingford
1756,Wallingford
1757,Wallingford
1760,Wallingford
1751,Wallingford
1752,Wallingford
1611,Bethany
1842,Branford
1844,Branford
1845,Branford
1846,Branford
1753,Wallingford
1759,Wallingford
3501,Waterbury
3502,Waterbury
3503,Waterbury
1847,Branford
1841,Branford
1705,Meriden
3516.02,Waterbury
3432,Cheshire
3433,Cheshire
3434,Cheshire
1201,Derby
1202,Derby
1573,Orange
3504,Waterbury
3505,Waterbury
3508,Waterbury
3509,Waterbury
3510,Waterbury
1427,New Haven
1801,East Haven
1802,East Haven
1803,East Haven
1804,East Haven
1805,East Haven
1806.01,East Haven
3527.01,Waterbury
3511,Waterbury
3512,Waterbury
3513,Waterbury
3514,Waterbury
1806.02,East Haven
1903.01,Guilford
1903.02,Guilford
1903.03,Guilford
1942.01,Madison
1413,New Haven
1415,New Haven
1425,New Haven
3515,Waterbury
3461.02,Oxford
3527.02,Waterbury
3517,Waterbury
3518,Waterbury
1651,Hamden
1652,Hamden
1653,Hamden
1654,Hamden
3516.01,Waterbury
3519,Waterbury
3520,Waterbury
3521,Waterbury
3522,Waterbury
3523,Waterbury
3524,Waterbury
3525,Waterbury
1655,Hamden
1656,Hamden
1657,Hamden
1658.01,Hamden
1672.01,North Haven
1658.02,Hamden
3526,Waterbury
3528,Waterbury
1541,West Haven
1542,West Haven
1659,Hamden
1660.01,Hamden
1660.02,Hamden
1942.02,Madison
1701,Meriden
1703,Meriden
3431.01,Cheshire
1704,Meriden
1546,West Haven
1549,West Haven
3611,Wolcott
9900,Wolcott
3612,Wolcott
3613,Wolcott
1601,Woodbridge
1602,Woodbridge
3431.02,Cheshire
1426.04,New Haven
1301.02,Seymour
1301.01,Seymour
1706,Meriden
1707,Meriden
1708,Meriden
1709,Meriden
1710,Meriden
3614.02,New Haven
3481.22,Southbury
3481.23,Southbury
3481.24,Southbury
3481.25,Southbury
3614.01,New Haven
1426.03,New Haven
3615,West Haven
1711,Meriden
1712,Meriden
1713,Meriden
1714,Meriden
1715,Meriden
1716,Meriden
1717,Meriden
1758,Wallingford
3441,Middlebury
3442,Middlebury
1503,Milford
1506,Milford
1507,Milford
1508,Milford
1512,Milford
3451,Naugatuck
3452.01,Naugatuck
3452.02,Naugatuck
